path	profiles	runtime_class_by_profile	previous_class	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_hash_declared	owner_prompt_sha256	l0_claim	gate_class	inference	refutation	recommended_action	universe	probe_id	canonical_route
counter_step	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/counter.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-counter_step	counter.step
display	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/math_style.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-display	math.display
enum.item	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/model/enum.rs:230	00_nucleo/prompts/compiler/eval/bindings/field_access.md	2d102890	92aa897909abfb6095ab59191614b0fd87c0d648e8e593ed8f0702176c2a542e	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-enum.item	
figure.caption	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/model/figure.rs:511	00_nucleo/prompts/compiler/eval/bindings/field_access.md	2d102890	92aa897909abfb6095ab59191614b0fd87c0d648e8e593ed8f0702176c2a542e	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-figure.caption	
float.from-bytes	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/foundations/float.rs:96	lab/typst-original/crates/typst-library/src/foundations/float.rs:121	00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-float.from-bytes	
float.inf	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/foundations/float.rs:96	lab/typst-original/crates/typst-library/src/foundations/float.rs:35	00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-float.inf	
float.nan	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/foundations/float.rs:96	lab/typst-original/crates/typst-library/src/foundations/float.rs:39	00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-float.nan	
float.signum	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/foundations/float.rs:96	lab/typst-original/crates/typst-library/src/foundations/float.rs:110	00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-float.signum	
float.to-bytes	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/foundations/float.rs:96	lab/typst-original/crates/typst-library/src/foundations/float.rs:158	00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-float.to-bytes	
footnote.entry	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/model/footnote.rs:223	00_nucleo/prompts/compiler/eval/bindings/field_access.md	2d102890	92aa897909abfb6095ab59191614b0fd87c0d648e8e593ed8f0702176c2a542e	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-footnote.entry	
frak	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/math_style.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-frak	math.frak
function.where	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/entities/func.rs:237	lab/typst-original/crates/typst-library/src/foundations/func.rs:422	00_nucleo/prompts/entities/func.md	c57c2de2	52b6f6e7ca7714027d4e3a883f6e5ae888a48e4a5c67e45651b63b86d9811908	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-function.where	
function.with	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/entities/func.rs:237	lab/typst-original/crates/typst-library/src/foundations/func.rs:397	00_nucleo/prompts/entities/func.md	c57c2de2	52b6f6e7ca7714027d4e3a883f6e5ae888a48e4a5c67e45651b63b86d9811908	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-function.with	
grid_cell	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/table_grid.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/table_grid.md	d4d8c07e	153a22b018f247e1b37943a257afa3ad55da414b92886655a1415079118c3edd	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-grid_cell	grid.cell
grid_footer	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/table_grid.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/table_grid.md	d4d8c07e	153a22b018f247e1b37943a257afa3ad55da414b92886655a1415079118c3edd	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-grid_footer	grid.footer
grid_header	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/table_grid.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/table_grid.md	d4d8c07e	153a22b018f247e1b37943a257afa3ad55da414b92886655a1415079118c3edd	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-grid_header	grid.header
hsl	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:MATCH_DIAGNOSTIC;a11y:MATCH_DIAGNOSTIC;html+a11y:MATCH_DIAGNOSTIC	L0_CONTRADICTION	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1651	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/eval.md	38aa5e89	ce02b7d257e29742071497f112f1ea42ed734a93989e8fbb1332f1c09590f5e2	P1300 exclui exatamente os aliases globais; rotas color.* são preservadas.	NO_CHANGE_CLOSED_CONTROL	Matriz fresca confirma fechamento histórico nos quatro perfis; nenhuma regressão temporal.	Qualquer perfil ou repetição divergir do diagnóstico/valor vanilla.	Preservar como sentinela fechada, fora dos 160 residuais.	historical_closed_extra	path-hsl	color.hsl
hsv	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:MATCH_DIAGNOSTIC;a11y:MATCH_DIAGNOSTIC;html+a11y:MATCH_DIAGNOSTIC	L0_CONTRADICTION	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1651	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/eval.md	38aa5e89	ce02b7d257e29742071497f112f1ea42ed734a93989e8fbb1332f1c09590f5e2	P1300 exclui exatamente os aliases globais; rotas color.* são preservadas.	NO_CHANGE_CLOSED_CONTROL	Matriz fresca confirma fechamento histórico nos quatro perfis; nenhuma regressão temporal.	Qualquer perfil ou repetição divergir do diagnóstico/valor vanilla.	Preservar como sentinela fechada, fora dos 160 residuais.	historical_closed_extra	path-hsv	color.hsv
html	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:MATCH_VALUE;a11y:MATCH_DIAGNOSTIC;html+a11y:MATCH_VALUE	EXPECTED_FEATURE_DISABLED	EXPECTED_FEATURE_DISABLED	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	html é feature independente do target; ausência sem feature é esperada.	NO_CHANGE_EXPECTED_FEATURE_GATE	MATCH_DIAGNOSTIC sem html e MATCH_VALUE com html nos quatro perfis medidos.	Presença sem feature ou ausência/divergência com feature.	Preservar gate; não selecionar como defeito.	p1299_residual_160	path-html	
html.area	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.area	
html.audio	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.audio	
html.base	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.base	
html.blockquote	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.blockquote	
html.canvas	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.canvas	
html.caption	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.caption	
html.colgroup	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.colgroup	
html.data	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.data	
html.del	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.del	
html.details	default,html,a11y,html+a11y	default:MATCH_DIAGNOSTIC;html:VANILLA_ONLY;a11y:MATCH_DIAGNOSTIC;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/html.rs:24	lab/typst-original/crates/typst-html/src/typed.rs:32	00_nucleo/prompts/compiler/stdlib/html.md	33e187a1	df741b13ec8a3630180d65c3b606aca20385ab2b00d3d93836e85b5fbdca9ac9	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_REASSESS_CONCRETE_OWNER_CHANGE	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-html.details	
